respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26888,0.5,0.89,0.84
26889,0.5,0.16,0.07
26890,0.5,0.46,0.14
26891,0.5,0.81,0.59
26892,0.5,0.65,0.2
26893,0.5,0.14,0.09
26894,0.5,0.33,0.38
26895,0.5,0.76,0.1
26896,0.5,0.11,0.17
26897,0.5,0.41,0.21
26898,0.5,0.5,0.31
26899,0.5,0.07,0.07
26900,0.5,0.32,0.13
26901,0.5,0.46,0.13
26902,0.5,0.82,0.24
26903,0.5,0.18,0.17
26904,0.5,0.41,0.24
26905,0.5,0.73,0.36
26906,0.5,0.38,0.13
26907,0.5,0.46,0.13
26908,0.5,0.73,0.15
26909,0.5,0.27,0.22
26910,0.5,0.36,0.07
26911,0.5,0.2,0.16
26912,0.5,0.69,0.51
26913,0.5,0.8,0.63
26914,0.5,0.22,0.06
26915,0.5,0.51,0.21
26916,0.5,0.19,0.1
26917,0.5,0.21,0.06
26918,0.5,0.92,0.85
26919,0.5,0.57,0.24
26920,0.5,0.11,0.04
26921,0.5,0.65,0.28
26922,0.5,0.79,0.07
26923,0.5,0.49,0.33
26924,0.5,0.93,0.78
26925,0.5,0.6,0.24
26926,0.5,0.39,0.5
26927,0.5,0.66,0.44
26928,0.5,0.48,0.18
26929,0.5,0.32,0.18
26930,0.5,0.71,0.47
26931,0.5,0.44,0.31
26932,0.5,0.83,0.31
26933,0.5,0.51,0.06
26934,0.5,0.57,0.42
26935,0.5,0.44,0.24
26936,0.5,0.34,0.27
26937,0.5,0.88,0.21
26938,0.5,0.08,0.08
26939,0.5,0.08,0.1
26940,0.5,0.26,0.15
26941,0.5,0.38,0.31
26942,0.5,0.74,0.56
26943,0.5,0.64,0.18
26944,0.5,0.16,0.08
26945,0.5,0.54,0.14
26946,0.5,0.69,0.09
26947,0.5,0.52,0.31
26948,0.5,0.09,0.12
26949,0.5,0.17,0.08
26950,0.5,0.54,0.09
26951,0.5,0.3,0.25
26952,0.5,0.81,0.61
26953,0.5,0.81,0.47
26954,0.5,0.23,0.01
26955,0.5,0.62,0.12
26956,0.5,0.32,0.31
26957,0.5,0.84,0.14
26958,0.5,0.65,0.22
26959,0.5,0.26,0.12
26960,0.5,0.13,0.13
26961,0.5,0.42,0.32
26962,0.5,0.64,0.22
26963,0.5,0.35,0.13
26964,0.5,0.28,0.1
26965,0.5,0.79,0.6
26966,0.5,0.28,0.16
26967,0.5,0.44,0.3
26968,0.5,0.83,0.19
26969,0.5,0.3,0.27
26970,0.5,0.64,0.65
26971,0.5,0.24,0.2
26972,0.5,0.09,0.09
26973,0.5,0.17,0.22
26974,0.5,0.37,0.27
26975,0.5,0.66,0.28
26976,0.5,0.66,0.75
26977,0.5,0.55,0.37
26978,0.5,0.72,0.08
26979,0.5,0.76,0.61
26980,0.5,0.2,0.1
26981,0.5,0.45,0.07
26982,0.5,0.78,0.64
26983,0.5,0.37,0.22
26984,0.5,0.19,0.08
26985,0.5,0.13,0.12
26986,0.5,0.32,0.12
26987,0.5,0.27,0.09
26988,0.5,0.1,0.01
26989,0.5,0.75,0.38
26990,0.5,0.18,0.1
26991,0.5,0.44,0.2
26992,0.5,0.45,0.26
26993,0.5,0.79,0.15
26994,0.5,0.33,0.26
26995,0.5,0.48,0.19
26996,0.5,0.33,0.34
26997,0.5,0.09,0.06
26998,0.5,0.09,0.12
26999,0.5,0.39,0.25
27000,0.5,0.38,0.11
27001,0.5,0.68,0.15
27002,0.5,0.25,0.05
27003,0.5,0.12,0.09
27004,0.5,0.42,0.49
27005,0.5,0.71,0.45
27006,0.5,0.75,0.74
27007,0.5,0.25,0.15
27008,0.5,0.18,0.15
27009,0.5,0.26,0.17
27010,0.5,0.05,0.06
27011,0.5,0.2,0.12
27012,0.5,0.5,0.35
27013,0.5,0.41,0.25
27014,0.5,0.38,0.17
27015,0.5,0.36,0.34
27016,0.5,0.35,0.13
27017,0.5,0.8,0.58
27018,0.5,0.32,0.09
27019,0.5,0.95,0.82
27020,0.5,0.24,0.25
27021,0.5,0.56,0.46
27022,0.5,0.3,0.09
27023,0.5,0.28,0.13
27024,0.5,0.39,0.08
27025,0.5,0.24,0.27
27026,0.5,0.38,0.1
27027,0.5,0.65,0.1
27028,0.5,0.76,0.37
27029,0.5,0.24,0.17
27030,0.5,0.36,0.36
27031,0.5,0.79,0.44
27032,0.5,0.55,0.26
27033,0.5,0.59,0.42
27034,0.5,0.48,0.17
27035,0.5,0.23,0.21
27036,0.5,0.6,0.13
27037,0.5,0.65,0.51
27038,0.5,0.06,0.03
27039,0.5,0.83,0.51
27040,0.5,0.46,0.24
27041,0.5,0.59,0.1
27042,0.5,0.62,0.11
27043,0.5,0.67,0.41
27044,0.5,0.12,0.06
27045,0.5,0.53,0.12
27046,0.5,0.19,0.11
27047,0.5,0.49,0.64
27048,0.5,0.59,0.13
27049,0.5,0.67,0.5
27050,0.5,0.58,0.22
27051,0.5,0.3,0.27
27052,0.5,0.26,0.08
27053,0.5,0.84,0.81
27054,0.5,0.05,0.08
27055,0.5,0.78,0.12
27056,0.5,0.24,0.17
27057,0.5,0.12,0.05
27058,0.5,0.79,0.77
27059,0.5,0.21,0.25
27060,0.5,0.43,0.25
27061,0.5,0.41,0.09
27062,0.5,0.53,0.16
27063,0.5,0.53,0.08
27064,0.5,0.5,0.18
27065,0.5,0.52,0.25
27066,0.5,0.59,0.17
27067,0.5,0.82,0.55
27068,0.5,0.78,0.57
27069,0.5,0.79,0.51
27070,0.5,0.05,0.08
27071,0.5,0.12,0.14
27072,0.5,0.56,0.24
27073,0.5,0.85,0.12
27074,0.5,0.31,0.2
27075,0.5,0.72,0.63
27076,0.5,0.67,0.59
27077,0.5,0.14,0.23
27078,0.5,0.75,0.18
27079,0.5,0.77,0.26
27080,0.5,0.21,0.17
27081,0.5,0.72,0.19
27082,0.5,0.29,0.27
27083,0.5,0.32,0.2
27084,0.5,0.74,0.62
27085,0.5,0.04,0.03
27086,0.5,0.13,0.07
27087,0.5,0.29,0.32
27088,0.5,0.65,0.37
27089,0.5,0.28,0.17
27090,0.5,0.67,0.44
27091,0.5,0.38,0.47
27092,0.5,0.38,0.21
27093,0.5,0.24,0.23
27094,0.5,0.21,0.1
27095,0.5,0.5,0.26
27096,0.5,0.25,0.23
27097,0.5,0.62,0.45
27098,0.5,0.8,0.61
27099,0.5,0.56,0.26
27100,0.5,0.7,0.21
27101,0.5,0.56,0.17
27102,0.5,0.69,0.24
27103,0.5,0.14,0.07
27104,0.5,0.58,0.38
27105,0.5,0.5,0.22
27106,0.5,0.85,0.5
27107,0.5,0.69,0.45
27108,0.5,0.34,0.35
27109,0.5,0.13,0.17
27110,0.5,0.32,0.07
27111,0.5,0.41,0.25
27112,0.5,0.62,0.49
27113,0.5,0.11,0.12
27114,0.5,0.26,0.16
27115,0.5,0.74,0.54
27116,0.5,0.81,0.07
27117,0.5,0.15,0.05
27118,0.5,0.5,0.2
27119,0.5,0.28,0.19
27120,0.5,0.89,0.23
27121,0.5,0.58,0.23
27122,0.5,0.41,0.12
27123,0.5,0.17,0.13
27124,0.5,0.19,0.05
27125,0.5,0.03,0.06
27126,0.5,0.21,0.19
27127,0.5,0.21,0.1
27128,0.5,0.42,0.26
27129,0.5,0.44,0.25
27130,0.5,0.35,0.14
27131,0.5,0.24,0.2
27132,0.5,0.87,0.43
27133,0.5,0.56,0.08
27134,0.5,0.9,0.89
27135,0.5,0.62,0.09
27136,0.5,0.54,0.23
27137,0.5,0.24,0.17
27138,0.5,0.49,0.16
27139,0.5,0.21,0.07
27140,0.5,0.89,0.79
27141,0.5,0.6,0.57
27142,0.5,0.25,0.09
27143,0.5,0.39,0.36
27144,0.5,0.23,0.13
27145,0.5,0.73,0.49
27146,0.5,0.77,0.21
27147,0.5,0.15,0.09
27148,0.5,0.19,0.09
27149,0.5,0.26,0.25
27150,0.5,0.75,0.42
27151,0.5,0.77,0.22
27152,0.5,0.24,0.13
27153,0.5,0.71,0.28
27154,0.5,0.78,0.55
27155,0.5,0.79,0.29
27156,0.5,0.29,0.12
27157,0.5,0.52,0.22
27158,0.5,0.36,0.11
27159,0.5,0.18,0.06
27160,0.5,0.34,0.24
27161,0.5,0.48,0.36
27162,0.5,0.72,0.21
27163,0.5,0.39,0.48
27164,0.5,0.18,0.18
27165,0.5,0.64,0.48
27166,0.5,0.28,0.21
27167,0.5,0.53,0.22
27168,0.5,0.63,0.19
27169,0.5,0.76,0.43
27170,0.5,0.86,0.57
27171,0.5,0.28,0.08
27172,0.5,0.72,0.14
27173,0.5,0.49,0.33
27174,0.5,0.24,0.13
27175,0.5,0.23,0.13
27176,0.5,0.86,0.6
27177,0.5,0.71,0.76
27178,0.5,0.35,0.14
27179,0.5,0.26,0.19
27180,0.5,0.43,0.15
27181,0.5,0.81,0.17
27182,0.5,0.66,0.39
27183,0.5,0.56,0.1
27184,0.5,0.4,0.18
27185,0.5,0.63,0.47
27186,0.5,0.75,0.28
27187,0.5,0.27,0.15
27188,0.5,0.42,0.25
27189,0.5,0.59,0.14
27190,0.5,0.84,0.29
27191,0.5,0.83,0.34
27192,0.5,0.58,0.41
27193,0.5,0.16,0.0
27194,0.5,0.49,0.32
27195,0.5,0.17,0.07
27196,0.5,0.28,0.23
27197,0.5,0.48,0.21
27198,0.5,0.85,0.49
27199,0.5,0.5,0.32
27200,0.5,0.59,0.24
27201,0.5,0.77,0.47
27202,0.5,0.23,0.22
27203,0.5,0.15,0.07
27204,0.5,0.07,0.1
27205,0.5,0.43,0.22
27206,0.5,0.42,0.31
27207,0.5,0.24,0.31
27208,0.5,0.66,0.67
27209,0.5,0.4,0.26
27210,0.5,0.36,0.13
27211,0.5,0.38,0.1
27212,0.5,0.78,0.34
27213,0.5,0.51,0.32
27214,0.5,0.15,0.22
27215,0.5,0.67,0.23
27216,0.5,0.7,0.25
27217,0.5,0.33,0.15
27218,0.5,0.73,0.53
27219,0.5,0.6,0.59
27220,0.5,0.53,0.28
27221,0.5,0.66,0.12
27222,0.5,0.63,0.17
27223,0.5,0.65,0.05
27224,0.5,0.49,0.14
27225,0.5,0.33,0.3
27226,0.5,0.32,0.08
27227,0.5,0.3,0.31
27228,0.5,0.75,0.58
27229,0.5,0.76,0.46
27230,0.5,0.84,0.35
27231,0.5,0.76,0.56
27232,0.5,0.44,0.17
27233,0.5,0.35,0.42
27234,0.5,0.11,0.03
27235,0.5,0.9,0.79
27236,0.5,0.75,0.13
27237,0.5,0.77,0.55
27238,0.5,0.75,0.51
27239,0.5,0.27,0.31
27240,0.5,0.43,0.09
27241,0.5,0.14,0.19
27242,0.5,0.58,0.22
27243,0.5,0.15,0.15
27244,0.5,0.09,0.09
27245,0.5,0.49,0.26
27246,0.5,0.84,0.69
27247,0.5,0.83,0.32
27248,0.5,0.68,0.24
27249,0.5,0.48,0.25
27250,0.5,0.26,0.2
27251,0.5,0.38,0.14
27252,0.5,0.41,0.25
27253,0.5,0.73,0.1
27254,0.5,0.93,0.83
27255,0.5,0.3,0.14
27256,0.5,0.87,0.7
27257,0.5,0.55,0.4
27258,0.5,0.73,0.35
27259,0.5,0.78,0.44
27260,0.5,0.31,0.21
27261,0.5,0.65,0.25
27262,0.5,0.39,0.25
27263,0.5,0.16,0.09
27264,0.5,0.22,0.13
27265,0.5,0.34,0.19
27266,0.5,0.42,0.11
27267,0.5,0.6,0.27
27268,0.5,0.26,0.14
27269,0.5,0.57,0.61
27270,0.5,0.11,0.04
27271,0.5,0.26,0.04
27272,0.5,0.46,0.16
27273,0.5,0.26,0.19
27274,0.5,0.39,0.16
27275,0.5,0.49,0.23
27276,0.5,0.19,0.04
27277,0.5,0.84,0.13
27278,0.5,0.41,0.18
27279,0.5,0.24,0.12
27280,0.5,0.48,0.53
27281,0.5,0.43,0.17
27282,0.5,0.81,0.28
27283,0.5,0.23,0.1
27284,0.5,0.5,0.25
27285,0.5,0.43,0.11
27286,0.5,0.47,0.27
27287,0.5,0.68,0.23
27288,0.5,0.65,0.51
27289,0.5,0.5,0.22
27290,0.5,0.12,0.06
27291,0.5,0.75,0.47
27292,0.5,0.61,0.13
27293,0.5,0.85,0.1
27294,0.5,0.16,0.15
27295,0.5,0.8,0.49
27296,0.5,0.7,0.23
27297,0.5,0.61,0.14
27298,0.5,0.27,0.13
27299,0.5,0.59,0.31
27300,0.5,0.75,0.22
27301,0.5,0.08,0.13
27302,0.5,0.68,0.2
27303,0.5,0.23,0.17
27304,0.5,0.67,0.11
27305,0.5,0.12,0.05
27306,0.5,0.5,0.25
27307,0.5,0.84,0.69
27308,0.5,0.33,0.24
27309,0.5,0.88,0.67
27310,0.5,0.37,0.14
27311,0.5,0.3,0.17
27312,0.5,0.48,0.16
27313,0.5,0.16,0.04
27314,0.5,0.14,0.13
27315,0.5,0.28,0.11
27316,0.5,0.6,0.25
27317,0.5,0.32,0.19
27318,0.5,0.36,0.29
27319,0.5,0.75,0.33
27320,0.5,0.75,0.27
27321,0.5,0.62,0.13
27322,0.5,0.58,0.5
27323,0.5,0.56,0.05
27324,0.5,0.66,0.19
27325,0.5,0.77,0.7
27326,0.5,0.53,0.05
27327,0.5,0.46,0.24
27328,0.5,0.49,0.43
27329,0.5,0.23,0.17
27330,0.5,0.61,0.14
27331,0.5,0.22,0.19
27332,0.5,0.79,0.25
27333,0.5,0.7,0.62
27334,0.5,0.08,0.1
27335,0.5,0.25,0.22
27336,0.5,0.2,0.18
27337,0.5,0.6,0.3
27338,0.5,0.43,0.18
27339,0.5,0.28,0.34
27340,0.5,0.17,0.07
27341,0.5,0.62,0.27
27342,0.5,0.46,0.24
27343,0.5,0.12,0.19
27344,0.5,0.38,0.4
27345,0.5,0.29,0.13
27346,0.5,0.8,0.49
27347,0.5,0.87,0.71
27348,0.5,0.33,0.05
27349,0.5,0.36,0.18
27350,0.5,0.74,0.09
27351,0.5,0.79,0.48
27352,0.5,0.41,0.12
27353,0.5,0.17,0.11
27354,0.5,0.53,0.31
27355,0.5,0.31,0.31
27356,0.5,0.63,0.45
27357,0.5,0.25,0.16
27358,0.5,0.59,0.35
27359,0.5,0.61,0.37
27360,0.5,0.56,0.24
27361,0.5,0.76,0.1
27362,0.5,0.58,0.35
27363,0.5,0.3,0.27
27364,0.5,0.55,0.15
27365,0.5,0.64,0.4
27366,0.5,0.63,0.36
27367,0.5,0.46,0.39
27368,0.5,0.5,0.06
27369,0.5,0.08,0.08
27370,0.5,0.74,0.11
27371,0.5,0.35,0.18
27372,0.5,0.25,0.14
27373,0.5,0.7,0.72
27374,0.5,0.25,0.12
27375,0.5,0.74,0.19
27376,0.5,0.33,0.39
27377,0.5,0.6,0.31
27378,0.5,0.16,0.14
27379,0.5,0.22,0.09
27380,0.5,0.74,0.32
27381,0.5,0.56,0.09
27382,0.5,0.32,0.16
27383,0.5,0.61,0.1
27384,0.5,0.49,0.08
27385,0.5,0.88,0.27
27386,0.5,0.77,0.17
27387,0.5,0.69,0.57
27388,0.5,0.38,0.2
27389,0.5,0.2,0.08
27390,0.5,0.12,0.04
27391,0.5,0.64,0.28
27392,0.5,0.86,0.83
27393,0.5,0.12,0.03
27394,0.5,0.41,0.12
27395,0.5,0.67,0.67
27396,0.5,0.18,0.11
27397,0.5,0.9,0.73
27398,0.5,0.53,0.24
27399,0.5,0.6,0.28
27400,0.5,0.61,0.14
27401,0.5,0.4,0.25
27402,0.5,0.69,0.18
27403,0.5,0.2,0.21
27404,0.5,0.36,0.22
27405,0.5,0.87,0.69
27406,0.5,0.24,0.11
27407,0.5,0.24,0.2
27408,0.5,0.52,0.11
27409,0.5,0.87,0.63
27410,0.5,0.23,0.08
27411,0.5,0.28,0.22
27412,0.5,0.56,0.35
27413,0.5,0.37,0.18
27414,0.5,0.71,0.57
27415,0.5,0.5,0.09
27416,0.5,0.38,0.26
27417,0.5,0.52,0.41
27418,0.5,0.24,0.35
27419,0.5,0.85,0.68
27420,0.5,0.21,0.08
27421,0.5,0.32,0.35
27422,0.5,0.59,0.33
27423,0.5,0.36,0.14
27424,0.5,0.55,0.11
27425,0.5,0.6,0.22
27426,0.5,0.35,0.13
27427,0.5,0.35,0.05
27428,0.5,0.14,0.23
27429,0.5,0.25,0.39
27430,0.5,0.5,0.11
27431,0.5,0.52,0.2
27432,0.5,0.51,0.27
27433,0.5,0.71,0.15
27434,0.5,0.32,0.15
27435,0.5,0.45,0.3
27436,0.5,0.12,0.16
27437,0.5,0.17,0.18
27438,0.5,0.22,0.04
27439,0.5,0.43,0.27
27440,0.5,0.29,0.23
27441,0.5,0.85,0.71
27442,0.5,0.71,0.56
27443,0.5,0.23,0.15
27444,0.5,0.05,0.12
27445,0.5,0.11,0.13
27446,0.5,0.25,0.22
27447,0.5,0.24,0.2
27448,0.5,0.56,0.26
27449,0.5,0.84,0.25
27450,0.5,0.63,0.23
27451,0.5,0.18,0.09
27452,0.5,0.27,0.07
27453,0.5,0.75,0.19
27454,0.5,0.28,0.13
27455,0.5,0.45,0.38
27456,0.5,0.43,0.17
27457,0.5,0.22,0.07
27458,0.5,0.4,0.16
27459,0.5,0.3,0.24
27460,0.5,0.79,0.72
27461,0.5,0.27,0.13
27462,0.5,0.49,0.28
27463,0.5,0.3,0.24
27464,0.5,0.52,0.44
27465,0.5,0.86,0.87
27466,0.5,0.11,0.01
27467,0.5,0.39,0.1
27468,0.5,0.39,0.09
27469,0.5,0.61,0.2
27470,0.5,0.85,0.64
27471,0.5,0.71,0.13
27472,0.5,0.62,0.36
27473,0.5,0.36,0.21
27474,0.5,0.37,0.25
27475,0.5,0.19,0.13
27476,0.5,0.38,0.17
27477,0.5,0.19,0.09
27478,0.5,0.5,0.19
27479,0.5,0.3,0.14
27480,0.5,0.62,0.38
27481,0.5,0.75,0.54
27482,0.5,0.4,0.34
27483,0.5,0.69,0.59
27484,0.5,0.71,0.28
27485,0.5,0.61,0.13
27486,0.5,0.36,0.34
27487,0.5,0.91,0.23
27488,0.5,0.8,0.7
27489,0.5,0.72,0.78
27490,0.5,0.33,0.08
27491,0.5,0.47,0.41
27492,0.5,0.4,0.04
27493,0.5,0.85,0.27
27494,0.5,0.71,0.25
27495,0.5,0.37,0.21
27496,0.5,0.19,0.07
27497,0.5,0.14,0.12
27498,0.5,0.69,0.21
27499,0.5,0.81,0.13
27500,0.5,0.73,0.29
27501,0.5,0.33,0.15
27502,0.5,0.57,0.13
27503,0.5,0.61,0.21
27504,0.5,0.09,0.04
27505,0.5,0.13,0.1
27506,0.5,0.83,0.22
27507,0.5,0.26,0.23
27508,0.5,0.37,0.4
27509,0.5,0.5,0.11
27510,0.5,0.26,0.44
27511,0.5,0.67,0.28
27512,0.5,0.27,0.07
27513,0.5,0.56,0.18
27514,0.5,0.68,0.29
27515,0.5,0.51,0.47
27516,0.5,0.6,0.43
27517,0.5,0.05,0.1
27518,0.5,0.79,0.7
27519,0.5,0.16,0.07
27520,0.5,0.1,0.11
27521,0.5,0.4,0.08
27522,0.5,0.15,0.28
27523,0.5,0.17,0.06
27524,0.5,0.45,0.3
27525,0.5,0.3,0.19
27526,0.5,0.57,0.4
27527,0.5,0.78,0.09
27528,0.5,0.7,0.46
27529,0.5,0.61,0.24
27530,0.5,0.12,0.12
27531,0.5,0.21,0.12
27532,0.5,0.82,0.23
27533,0.5,0.42,0.28
27534,0.5,0.3,0.19
27535,0.5,0.7,0.17
27536,0.5,0.43,0.33
27537,0.5,0.57,0.46
27538,0.5,0.45,0.31
27539,0.5,0.73,0.45
27540,0.5,0.28,0.39
27541,0.5,0.84,0.63
27542,0.5,0.11,0.13
27543,0.5,0.57,0.41
27544,0.5,0.43,0.17
27545,0.5,0.19,0.32
27546,0.5,0.5,0.55
27547,0.5,0.27,0.23
27548,0.5,0.82,0.18
27549,0.5,0.8,0.08
27550,0.5,0.32,0.18
27551,0.5,0.58,0.1
27552,0.5,0.72,0.13
27553,0.5,0.59,0.29
27554,0.5,0.38,0.31
27555,0.5,0.18,0.05
27556,0.5,0.62,0.15
27557,0.5,0.84,0.37
27558,0.5,0.25,0.18
27559,0.5,0.75,0.28
27560,0.5,0.69,0.43
27561,0.5,0.66,0.46
27562,0.5,0.67,0.33
27563,0.5,0.59,0.25
27564,0.5,0.3,0.33
27565,0.5,0.31,0.11
27566,0.5,0.36,0.37
27567,0.5,0.58,0.12
27568,0.5,0.77,0.39
27569,0.5,0.48,0.32
27570,0.5,0.67,0.32
27571,0.5,0.11,0.09
27572,0.5,0.14,0.04
27573,0.5,0.21,0.19
27574,0.5,0.56,0.32
27575,0.5,0.29,0.12
27576,0.5,0.23,0.03
27577,0.5,0.43,0.18
27578,0.5,0.46,0.27
27579,0.5,0.48,0.28
27580,0.5,0.65,0.19
27581,0.5,0.23,0.17
27582,0.5,0.22,0.22
27583,0.5,0.29,0.11
27584,0.5,0.62,0.51
27585,0.5,0.38,0.12
27586,0.5,0.75,0.55
27587,0.5,0.74,0.14
27588,0.5,0.29,0.14
27589,0.5,0.49,0.14
27590,0.5,0.43,0.27
27591,0.5,0.64,0.28
27592,0.5,0.09,0.15
27593,0.5,0.08,0.06
27594,0.5,0.63,0.16
27595,0.5,0.19,0.12
27596,0.5,0.19,0.21
27597,0.5,0.28,0.17
27598,0.5,0.37,0.26
27599,0.5,0.72,0.43
27600,0.5,0.48,0.24
27601,0.5,0.68,0.16
27602,0.5,0.76,0.7
27603,0.5,0.13,0.11
27604,0.5,0.34,0.09
27605,0.5,0.5,0.47
27606,0.5,0.32,0.33
27607,0.5,0.53,0.39
27608,0.5,0.49,0.21
27609,0.5,0.74,0.14
27610,0.5,0.67,0.42
27611,0.5,0.2,0.32
27612,0.5,0.6,0.11
27613,0.5,0.88,0.79
27614,0.5,0.38,0.16
27615,0.5,0.8,0.24
27616,0.5,0.07,0.09
27617,0.5,0.39,0.24
27618,0.5,0.56,0.29
27619,0.5,0.4,0.42
27620,0.5,0.54,0.39
27621,0.5,0.32,0.21
27622,0.5,0.79,0.71
27623,0.5,0.58,0.15
27624,0.5,0.73,0.28
27625,0.5,0.36,0.14
27626,0.5,0.27,0.19
27627,0.5,0.8,0.79
27628,0.5,0.7,0.1
27629,0.5,0.16,0.08
27630,0.5,0.68,0.46
27631,0.5,0.25,0.17
27632,0.5,0.52,0.11
27633,0.5,0.68,0.48
27634,0.5,0.33,0.33
